,url,privacyStatus,licensedContent,license
LMc3Va0D1rQ,https://youtu.be/LMc3Va0D1rQ,public,False,youtube
esGp4P23gK8,https://youtu.be/esGp4P23gK8,public,True,youtube
HbTKPauv_Iw,https://youtu.be/HbTKPauv_Iw,public,False,youtube
xsH4lWUWqg8,https://youtu.be/xsH4lWUWqg8,public,False,youtube
YcvV3HkzC-g,https://youtu.be/YcvV3HkzC-g,public,False,youtube
vD8wIOxXvEw,https://youtu.be/vD8wIOxXvEw,public,True,youtube
o7Q-wsuH-aI,https://youtu.be/o7Q-wsuH-aI,public,False,creativeCommon
ilor0A-s3ts,https://youtu.be/ilor0A-s3ts,public,False,youtube
eBuZzZsA_4g,https://youtu.be/eBuZzZsA_4g,public,False,youtube
_MyNFyMxav8,https://youtu.be/_MyNFyMxav8,public,True,youtube
DfLEqqh-unM,https://youtu.be/DfLEqqh-unM,public,False,youtube
GfuapW5mKms,https://youtu.be/GfuapW5mKms,public,False,youtube
n60_WUScyFw,https://youtu.be/n60_WUScyFw,public,False,youtube
flGWwcEBh0g,https://youtu.be/flGWwcEBh0g,public,True,youtube
fBosTF8xJB8,https://youtu.be/fBosTF8xJB8,public,False,youtube
NGBQaGXcAfI,https://youtu.be/NGBQaGXcAfI,public,False,youtube
udECkIb8yfM,https://youtu.be/udECkIb8yfM,public,True,youtube
-82rlEvkgas,https://youtu.be/-82rlEvkgas,public,False,youtube
ccFVrRp6MzM,https://youtu.be/ccFVrRp6MzM,public,True,youtube
QkdLwpdJ4FM,https://youtu.be/QkdLwpdJ4FM,public,True,youtube
n67_y4gSAP8,https://youtu.be/n67_y4gSAP8,public,False,youtube
RD9tUmDl9H0,https://youtu.be/RD9tUmDl9H0,public,False,youtube
lQ4LXNmkOPY,https://youtu.be/lQ4LXNmkOPY,public,False,youtube
mDpART5GWWQ,https://youtu.be/mDpART5GWWQ,public,True,youtube
Wgc5eo7w1tc,https://youtu.be/Wgc5eo7w1tc,public,True,youtube
OoeAGM8Sxro,https://youtu.be/OoeAGM8Sxro,public,False,youtube
